title,page,composer,is_new_arrangement
A Mighty Fortress Is Our God,70,Martin Luther,no
All For Jesus,118,Traditional,no
The Bell Carol,44,M. Leontovich,no
Because He Lives,8,William J. Gaither,yes
The Bond of Love,116,Otis Skillings,no
The Christ Of Every Crisis,60,Lee Fisher,no
The Church Triumphant,46,William J. Gaither,no
"Even So, Lord Jesus, Come",74,William J. Gaither,no
Gentle Shepherd,114,William J. Gaither,no
God Gave The Song,67,William J. Gaither,no
Great Is Thy Faithfulness,35,William M. Runyan,no
He Is The Way,121,Otis Skillings,no
He Lifted Me,32,Charles H. Gabriel,no
He's Everything To Me,5,Ralph Carmichael,yes
How Big Is God?,85,Stuart Hamblen,no
How Long Has It Been?,128,Mosie Lister,no
I Am Loved,12,William J. Gaither,yes
I Believe In Miracles,135,John W. Peterson,no
I Just Feel Like Something Good Is About To Happen,30,William J. Gaither,no
I Will Serve Thee,144,William J. Gaither,no
I'll Tell The World,50,Baynard L. Fox,no
In Times Like These,28,Ruth Caye Jones,no
Ivory Palaces,82,Henry Barraclough,no
Jesus Is Coming Again,54,John W. Peterson,no
Jesus Loves Me,23,William Bradbury / Claude Debussy,no
Mansion Over The Hilltop,96,Ira Stanphill,no
My Faith Looks Up To Thee,80,Lowell Mason,no
My Tribute,20,Andraé Crouch,yes
Now I Belong To Jesus,77,Norman J. Clayton,no
O How He Loves You And Me,18,Kurt Kaiser,yes
One Solitary Life,109,Fred Bock,no
Open Up Your Heart And Let The Sun Shine In,138,Stuart Hamblen,no
"Precious Lord, Take My Hand",106,Traditional Spiritual,no
Redeeming Love,141,William J. Gaither,no
Revive Us Again,102,John J. Husband,no
Room At The Cross For You,99,Ira Stanphill,no
Safe Am I,126,William Dillon,no
Something Beautiful,57,William J. Gaither,no
Surely Goodness And Mercy,150,John W. Peterson,no
"Sweet, Sweet Spirit",15,Doris Akers,yes
"Teach Me, Lord, To Wait",62,Stuart Hamblen,no
Tell All The World About Love,91,Ron and Carol Harris,no
Ten Thousand Angels,41,Ray Overholt,no
There Is A Balm In Gilead,147,Traditional Spiritual,no
There's Something About That Name,94,William J. Gaither,no
Thou Art Worthy,10,Pauline Michael Mills,yes
To Be Free,132,Eddie Smith,no
Were You There?,64,Traditional Spiritual,no
What A Friend We Have In Jesus,88,Charles C. Converse,no
Wondrous Love,38,Traditional,no
