title,page,composer,composer_dates,source_file
Carol of the Bells,2,arr. Mark Hayes,b. 1953,Christmas at the Keyboard
Go Tell It on the Mountain,8,arr. Mark Hayes,b. 1953,Christmas at the Keyboard
O Holy Night,12,arr. Mark Hayes,b. 1953,Christmas at the Keyboard
"Lo, How a Rose E'er Blooming",16,arr. Mark Hayes,b. 1953,Christmas at the Keyboard
I Saw Three Ships,19,arr. Mark Hayes,b. 1953,Christmas at the Keyboard
Away in a Manger (Medley),23,arr. Mark Hayes,b. 1953,Christmas at the Keyboard
The Coventry Carol / The First Nowell,28,arr. Mark Hayes,b. 1953,Christmas at the Keyboard
"O Come, O Come, Emmanuel",32,arr. Mark Hayes,b. 1953,Christmas at the Keyboard
God Rest Ye Merry Gentlemen,36,arr. Mark Hayes,b. 1953,Christmas at the Keyboard
Reaching,40,arr. Mark Hayes,b. 1953,Christmas at the Keyboard
Bring Back the Glory,45,arr. Mark Hayes,b. 1953,Christmas at the Keyboard
