title,page,composer,composer_dates,source_file
America the Beautiful,4,arr. Mark Hayes,b. 1953,Piano for All Times
Children's Medley,8,arr. Mark Hayes,b. 1953,Piano for All Times
Spirit Medley,13,arr. Mark Hayes,b. 1953,Piano for All Times
We Gather Together,18,arr. Mark Hayes,b. 1953,Piano for All Times
In the Name of the Lord,22,arr. Mark Hayes,b. 1953,Piano for All Times
Jesus Saves,26,arr. Mark Hayes,b. 1953,Piano for All Times
He Who Began a Good Work in You,30,arr. Mark Hayes,b. 1953,Piano for All Times
Jesus Paid It All,35,arr. Mark Hayes,b. 1953,Piano for All Times
"Come, All Christians, Be Committed",40,arr. Mark Hayes,b. 1953,Piano for All Times
Arise,44,arr. Mark Hayes,b. 1953,Piano for All Times
